start_time,Distance (in),Experiment,end_time,competing airflow,Fan,shroud,spacing (in),push filters,pull filters,filepath
2023-07-25 14:21:20.994898,6,"AirGo M, full speed, round 2",2023-07-25 14:21:49.758083,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 14:22:29.456257,8,"AirGo M, full speed, round 2",2023-07-25 14:22:57.753898,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 14:23:46.146433,10,"AirGo M, full speed, round 2",2023-07-25 14:24:15.140352,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 14:25:02.251088,10,"AirGo M, full speed, round 2",2023-07-25 14:25:28.941632,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 14:26:01.353968,12,"AirGo M, full speed, round 2",2023-07-25 14:26:22.238621,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 14:26:53.276294,14,"AirGo M, full speed, round 2",2023-07-25 14:27:35.746519,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 14:28:16.587284,16,"AirGo M, full speed, round 2",2023-07-25 14:28:48.001494,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 14:29:37.067002,18,"AirGo M, full speed, round 2",2023-07-25 14:30:10.482227,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 14:31:51.295466,20,"AirGo M, full speed, round 2",2023-07-25 14:32:33.536408,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 14:33:26.514403,22,"AirGo M, full speed, round 2",2023-07-25 14:34:01.103390,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 14:34:33.598013,24,"AirGo M, full speed, round 2",2023-07-25 14:35:25.125387,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 15:19:32.772310,24,"SmartAir QT3, round 2",2023-07-25 15:20:20.747924,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_11:16:20.358217.csv
2023-07-25 15:21:04.688843,22,"SmartAir QT3, round 2",2023-07-25 15:21:31.333636,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_11:16:20.358217.csv
2023-07-25 15:22:11.538350,20,"SmartAir QT3, round 2",2023-07-25 15:22:53.710140,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_11:16:20.358217.csv
2023-07-25 15:23:27.748163,18,"SmartAir QT3, round 2",2023-07-25 15:23:56.457011,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_11:16:20.358217.csv
2023-07-25 15:24:35.154124,16,"SmartAir QT3, round 2",2023-07-25 15:25:15.564020,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_11:16:20.358217.csv
2023-07-25 15:25:41.351333,14,"SmartAir QT3, round 2",2023-07-25 15:26:09.116579,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_11:16:20.358217.csv
2023-07-25 15:26:48.667380,12,"SmartAir QT3, round 2",2023-07-25 15:27:09.560956,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_11:16:20.358217.csv
2023-07-25 15:27:44.578306,10,"SmartAir QT3, round 2",2023-07-25 15:28:13.511453,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_11:16:20.358217.csv
2023-07-25 15:28:37.668410,8,"SmartAir QT3, round 2",2023-07-25 15:28:58.153523,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_11:16:20.358217.csv
2023-07-25 15:29:28.391826,6,"SmartAir QT3, round 2",2023-07-25 15:29:49.753710,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_11:16:20.358217.csv
